+ . /home/htang2/toolchain-20251006/toolchain.rc
++ ROOT=/home/htang2/toolchain-20251006
++ export PATH=/home/htang2/toolchain-20251006/bin:/home/htang2/toolchain-20251006/opt/cuda/bin:/usr/games:/usr/local/games:/usr/bin:/usr/sbin:/usr/local/bin:/usr/local/sbin
++ PATH=/home/htang2/toolchain-20251006/bin:/home/htang2/toolchain-20251006/opt/cuda/bin:/usr/games:/usr/local/games:/usr/bin:/usr/sbin:/usr/local/bin:/usr/local/sbin
++ export LD_LIBRARY_PATH=/home/htang2/toolchain-20251006/lib:/home/htang2/toolchain-20251006/lib64:/home/htang2/toolchain-20251006/opt/cuda/lib:/home/htang2/toolchain-20251006/opt/cuda/lib64:/home/htang2/toolchain-20251006/opt/cuda/extras/CUPTI/lib64:
++ LD_LIBRARY_PATH=/home/htang2/toolchain-20251006/lib:/home/htang2/toolchain-20251006/lib64:/home/htang2/toolchain-20251006/opt/cuda/lib:/home/htang2/toolchain-20251006/opt/cuda/lib64:/home/htang2/toolchain-20251006/opt/cuda/extras/CUPTI/lib64:
+ source /home/s2283874/ssast/venvssast/bin/activate
++ deactivate nondestructive
++ '[' -n '' ']'
++ '[' -n '' ']'
++ hash -r
++ '[' -n '' ']'
++ unset VIRTUAL_ENV
++ unset VIRTUAL_ENV_PROMPT
++ '[' '!' nondestructive = nondestructive ']'
++ '[' linux-gnu = cygwin ']'
++ '[' linux-gnu = msys ']'
++ export VIRTUAL_ENV=/home/s2283874/ssast/venvssast
++ VIRTUAL_ENV=/home/s2283874/ssast/venvssast
++ _OLD_VIRTUAL_PATH=/home/htang2/toolchain-20251006/bin:/home/htang2/toolchain-20251006/opt/cuda/bin:/usr/games:/usr/local/games:/usr/bin:/usr/sbin:/usr/local/bin:/usr/local/sbin
++ PATH=/home/s2283874/ssast/venvssast/bin:/home/htang2/toolchain-20251006/bin:/home/htang2/toolchain-20251006/opt/cuda/bin:/usr/games:/usr/local/games:/usr/bin:/usr/sbin:/usr/local/bin:/usr/local/sbin
++ export PATH
++ '[' -n '' ']'
++ '[' -z '' ']'
++ _OLD_VIRTUAL_PS1=
++ PS1='(venvssast) '
++ export PS1
++ VIRTUAL_ENV_PROMPT='(venvssast) '
++ export VIRTUAL_ENV_PROMPT
++ hash -r
+ export TORCH_HOME=../../pretrained_models
+ TORCH_HOME=../../pretrained_models
+ mkdir exp
mkdir: cannot create directory ‘exp’: File exists
+ mkdir slurm_log
mkdir: cannot create directory ‘slurm_log’: File exists
+ librispeech360_dir=/home/s2283874/../../disk/scratch/s2283874/librispeech/train-clean-360
+ librispeech100_dir=/home/s2283874/../../disk/scratch/s2283874/librispeech/train-clean-100
+ '[' '!' -d /home/s2283874/../../disk/scratch/s2283874/librispeech/train-clean-360 ']'
+ mkdir -p /home/s2283874/../../disk/scratch/s2283874/librispeech/
+ echo 'LibriSpeech directory not found. Extracting archive...'
LibriSpeech directory not found. Extracting archive...
+ tar -xzf /home/s2283874/ssast/src/prep_data/librispeech/train-clean-360.tar.gz -C /home/s2283874/../../disk/scratch/s2283874/librispeech/
tar: LibriSpeech/train-clean-360/4238/12895/4238-12895-0043.flac: Cannot open: File exists
tar: LibriSpeech/train-clean-360/480/126336/480-126336-0012.flac: Cannot open: File exists
tar: LibriSpeech/train-clean-360/480/123176/480-123176-0037.flac: Cannot open: File exists
tar: LibriSpeech/train-clean-360/2790/142824/2790-142824-0058.flac: Cannot open: File exists
tar: LibriSpeech/train-clean-360/543/133217/543-133217.trans.txt: Cannot open: File exists
tar: LibriSpeech/train-clean-360/3009/10327/3009-10327-0088.flac: Cannot open: File exists
tar: LibriSpeech/train-clean-360/3370/163384/3370-163384-0018.flac: Cannot open: File exists
tar: LibriSpeech/train-clean-360/5723/43306/5723-43306-0013.flac: Cannot open: File exists
tar: Exiting with failure status due to previous errors
+ tar -xzf /home/s2283874/ssast/src/prep_data/librispeech/train-clean-100.tar.gz -C /home/s2283874/../../disk/scratch/s2283874/librispeech/
tar: LibriSpeech/train-clean-100/2514/149482/2514-149482-0097.flac: Cannot open: File exists
tar: LibriSpeech/train-clean-100/4859/29340/4859-29340-0025.flac: Cannot open: File exists
tar: Exiting with failure status due to previous errors
+ json_file=/home/s2283874/../../disk/scratch/s2283874/librispeech/librispeech_tr360_cut.json
+ json_test_file=/home/s2283874/../../disk/scratch/s2283874/librispeech/librispeech_tr360_cut_test.json
+ '[' '!' -f /home/s2283874/../../disk/scratch/s2283874/librispeech/librispeech_tr360_cut.json ']'
+ '[' '!' -f /home/s2283874/../../disk/scratch/s2283874/librispeech/librispeech_tr360_cut_test.json ']'
+ echo 'JSON file not found. Running prep_librispeech.py...'
JSON file not found. Running prep_librispeech.py...
+ python /home/s2283874/ssast/src/prep_data/librispeech/prep_librispeech.py
find 1k .wav files, time eclipse: 0.0 seconds.
   >> MPG: 0.043, MPC: 2.681, MPMHB: 2.493
Epoch: [11][950/1625]	Per Sample Total Time 0.00532	Per Sample Data Time 0.00154	Per Sample DNN Time 0.00378	Train Loss 7.4243	
   >> MPG: 0.042, MPC: 2.688, MPMHB: 2.453
Epoch: [11][1050/1625]	Per Sample Total Time 0.00505	Per Sample Data Time 0.00127	Per Sample DNN Time 0.00378	Train Loss 7.5314	
   >> MPG: 0.043, MPC: 2.581, MPMHB: 2.561
Epoch: [11][1150/1625]	Per Sample Total Time 0.00487	Per Sample Data Time 0.00109	Per Sample DNN Time 0.00378	Train Loss 7.6633	
   >> MPG: 0.046, MPC: 2.615, MPMHB: 2.542
Epoch: [11][1250/1625]	Per Sample Total Time 0.00473	Per Sample Data Time 0.00096	Per Sample DNN Time 0.00377	Train Loss 7.4114	
   >> MPG: 0.040, MPC: 2.794, MPMHB: 2.395
---------------- step 17600 evaluation ----------------
masked acc train: 0.396445
nce loss train: 7.350512
masked acc eval: 0.407051
nce loss eval: 0.044922
# 23, step 16800-17600, lr: 5.000000e-04
# 23, step 16800-17600, training time: 236.948
---------------- evaluation finished ----------------
Epoch: [11][1350/1625]	Per Sample Total Time 0.53839	Per Sample Data Time 0.53485	Per Sample DNN Time 0.00354	Train Loss 7.4814	
   >> MPG: 0.041, MPC: 2.739, MPMHB: 2.467
Epoch: [11][1450/1625]	Per Sample Total Time 0.00922	Per Sample Data Time 0.00549	Per Sample DNN Time 0.00373	Train Loss 7.3738	
   >> MPG: 0.042, MPC: 2.544, MPMHB: 2.498
Epoch: [11][1550/1625]	Per Sample Total Time 0.00663	Per Sample Data Time 0.00286	Per Sample DNN Time 0.00377	Train Loss 7.5690	
   >> MPG: 0.044, MPC: 2.576, MPMHB: 2.548
2026-01-28 16:43:09.037580
Epoch: [12][25/1625]	Per Sample Total Time 0.00715	Per Sample Data Time 0.00333	Per Sample DNN Time 0.00382	Train Loss 7.5893	
   >> MPG: 0.043, MPC: 2.739, MPMHB: 2.484
Epoch: [12][125/1625]	Per Sample Total Time 0.00654	Per Sample Data Time 0.00256	Per Sample DNN Time 0.00398	Train Loss 7.3748	
   >> MPG: 0.042, MPC: 2.618, MPMHB: 2.441
Epoch: [12][225/1625]	Per Sample Total Time 0.00610	Per Sample Data Time 0.00210	Per Sample DNN Time 0.00400	Train Loss 7.5152	
   >> MPG: 0.044, MPC: 2.552, MPMHB: 2.555
Epoch: [12][325/1625]	Per Sample Total Time 0.00583	Per Sample Data Time 0.00178	Per Sample DNN Time 0.00404	Train Loss 7.3571	
   >> MPG: 0.041, MPC: 2.683, MPMHB: 2.404
Epoch: [12][425/1625]	Per Sample Total Time 0.00562	Per Sample Data Time 0.00156	Per Sample DNN Time 0.00406	Train Loss 7.4406	
   >> MPG: 0.041, MPC: 2.750, MPMHB: 2.410
---------------- step 18400 evaluation ----------------
masked acc train: 0.405664
nce loss train: 7.438050
masked acc eval: 0.409517
nce loss eval: 0.044463
# 24, step 17600-18400, lr: 5.000000e-04
# 24, step 17600-18400, training time: 211.024
---------------- evaluation finished ----------------
Epoch: [12][525/1625]	Per Sample Total Time 0.54829	Per Sample Data Time 0.54468	Per Sample DNN Time 0.00361	Train Loss 7.4375	
   >> MPG: 0.042, MPC: 2.678, MPMHB: 2.472
Epoch: [12][625/1625]	Per Sample Total Time 0.00947	Per Sample Data Time 0.00559	Per Sample DNN Time 0.00388	Train Loss 7.4234	
   >> MPG: 0.042, MPC: 2.610, MPMHB: 2.479
Epoch: [12][725/1625]	Per Sample Total Time 0.00679	Per Sample Data Time 0.00291	Per Sample DNN Time 0.00387	Train Loss 7.5788	
   >> MPG: 0.044, MPC: 2.647, MPMHB: 2.539
Epoch: [12][825/1625]	Per Sample Total Time 0.00587	Per Sample Data Time 0.00201	Per Sample DNN Time 0.00386	Train Loss 7.4916	
   >> MPG: 0.044, MPC: 2.600, MPMHB: 2.483
Epoch: [12][925/1625]	Per Sample Total Time 0.00543	Per Sample Data Time 0.00156	Per Sample DNN Time 0.00387	Train Loss 7.2101	
   >> MPG: 0.039, MPC: 2.615, MPMHB: 2.430
Epoch: [12][1025/1625]	Per Sample Total Time 0.00516	Per Sample Data Time 0.00129	Per Sample DNN Time 0.00387	Train Loss 7.3930	
   >> MPG: 0.041, MPC: 2.767, MPMHB: 2.355
Epoch: [12][1125/1625]	Per Sample Total Time 0.00498	Per Sample Data Time 0.00111	Per Sample DNN Time 0.00387	Train Loss 7.4673	
   >> MPG: 0.043, MPC: 2.570, MPMHB: 2.522
Epoch: [12][1225/1625]	Per Sample Total Time 0.00484	Per Sample Data Time 0.00098	Per Sample DNN Time 0.00387	Train Loss 7.2726	
   >> MPG: 0.040, MPC: 2.741, MPMHB: 2.358
---------------- step 19200 evaluation ----------------
masked acc train: 0.410703
nce loss train: 7.491699
masked acc eval: 0.412509
nce loss eval: 0.044143
# 25, step 18400-19200, lr: 5.000000e-04
# 25, step 18400-19200, training time: 244.746
---------------- evaluation finished ----------------
Epoch: [12][1325/1625]	Per Sample Total Time 0.57204	Per Sample Data Time 0.56846	Per Sample DNN Time 0.00358	Train Loss 7.5776	
   >> MPG: 0.045, MPC: 2.577, MPMHB: 2.544
Epoch: [12][1425/1625]	Per Sample Total Time 0.00968	Per Sample Data Time 0.00582	Per Sample DNN Time 0.00386	Train Loss 7.6123	
   >> MPG: 0.043, MPC: 2.712, MPMHB: 2.551
Epoch: [12][1525/1625]	Per Sample Total Time 0.00691	Per Sample Data Time 0.00302	Per Sample DNN Time 0.00388	Train Loss 7.3729	
   >> MPG: 0.042, MPC: 2.678, MPMHB: 2.390
2026-01-28 16:52:03.036252
Epoch: [13][0/1625]	Per Sample Total Time 0.00613	Per Sample Data Time 0.00225	Per Sample DNN Time 0.00387	Train Loss 7.4902	
   >> MPG: 0.043, MPC: 2.762, MPMHB: 2.378
Epoch: [13][100/1625]	Per Sample Total Time 0.00561	Per Sample Data Time 0.00174	Per Sample DNN Time 0.00386	Train Loss 7.3435	
   >> MPG: 0.041, MPC: 2.651, MPMHB: 2.444
Epoch: [13][200/1625]	Per Sample Total Time 0.00527	Per Sample Data Time 0.00143	Per Sample DNN Time 0.00384	Train Loss 7.2168	
   >> MPG: 0.041, MPC: 2.578, MPMHB: 2.400
Epoch: [13][300/1625]	Per Sample Total Time 0.00505	Per Sample Data Time 0.00123	Per Sample DNN Time 0.00383	Train Loss 7.4177	
   >> MPG: 0.043, MPC: 2.667, MPMHB: 2.397
Epoch: [13][400/1625]	Per Sample Total Time 0.00490	Per Sample Data Time 0.00108	Per Sample DNN Time 0.00382	Train Loss 7.3165	
   >> MPG: 0.041, MPC: 2.708, MPMHB: 2.371
---------------- step 20000 evaluation ----------------
masked acc train: 0.395156
nce loss train: 7.328625
masked acc eval: 0.414781
nce loss eval: 0.044022
# 26, step 19200-20000, lr: 5.000000e-04
# 26, step 19200-20000, training time: 170.693
---------------- evaluation finished ----------------
Epoch: [13][500/1625]	Per Sample Total Time 0.64808	Per Sample Data Time 0.64388	Per Sample DNN Time 0.00421	Train Loss 7.3031	
   >> MPG: 0.039, MPC: 2.760, MPMHB: 2.381
Epoch: [13][600/1625]	Per Sample Total Time 0.01030	Per Sample Data Time 0.00657	Per Sample DNN Time 0.00373	Train Loss 7.3773	
   >> MPG: 0.042, MPC: 2.633, MPMHB: 2.418
Epoch: [13][700/1625]	Per Sample Total Time 0.00714	Per Sample Data Time 0.00340	Per Sample DNN Time 0.00375	Train Loss 7.3695	
   >> MPG: 0.040, MPC: 2.746, MPMHB: 2.408
Epoch: [13][800/1625]	Per Sample Total Time 0.00608	Per Sample Data Time 0.00233	Per Sample DNN Time 0.00375	Train Loss 7.2922	
   >> MPG: 0.040, MPC: 2.717, MPMHB: 2.359
Epoch: [13][900/1625]	Per Sample Total Time 0.00558	Per Sample Data Time 0.00180	Per Sample DNN Time 0.00378	Train Loss 7.3395	
   >> MPG: 0.042, MPC: 2.568, MPMHB: 2.486
Epoch: [13][1000/1625]	Per Sample Total Time 0.00525	Per Sample Data Time 0.00148	Per Sample DNN Time 0.00377	Train Loss 7.2652	
   >> MPG: 0.040, MPC: 2.635, MPMHB: 2.427
Epoch: [13][1100/1625]	Per Sample Total Time 0.00501	Per Sample Data Time 0.00126	Per Sample DNN Time 0.00375	Train Loss 7.3606	
   >> MPG: 0.042, MPC: 2.668, MPMHB: 2.386
Epoch: [13][1200/1625]	Per Sample Total Time 0.00485	Per Sample Data Time 0.00111	Per Sample DNN Time 0.00375	Train Loss 7.3931	
   >> MPG: 0.041, MPC: 2.701, MPMHB: 2.437
---------------- step 20800 evaluation ----------------
masked acc train: 0.410039
nce loss train: 7.381758
masked acc eval: 0.415762
nce loss eval: 0.043659
# 27, step 20000-20800, lr: 5.000000e-04
# 27, step 20000-20800, training time: 233.332
---------------- evaluation finished ----------------
Epoch: [13][1300/1625]	Per Sample Total Time 0.49971	Per Sample Data Time 0.49597	Per Sample DNN Time 0.00374	Train Loss 7.2740	
   >> MPG: 0.041, MPC: 2.674, MPMHB: 2.359
Epoch: [13][1400/1625]	Per Sample Total Time 0.00901	Per Sample Data Time 0.00511	Per Sample DNN Time 0.00390	Train Loss 7.3681	
   >> MPG: 0.042, MPC: 2.606, MPMHB: 2.458
Epoch: [13][1500/1625]	Per Sample Total Time 0.00654	Per Sample Data Time 0.00267	Per Sample DNN Time 0.00387	Train Loss 7.4634	
   >> MPG: 0.042, MPC: 2.697, MPMHB: 2.463
Epoch: [13][1600/1625]	Per Sample Total Time 0.00571	Per Sample Data Time 0.00185	Per Sample DNN Time 0.00386	Train Loss 7.5351	
   >> MPG: 0.044, MPC: 2.610, MPMHB: 2.481
2026-01-28 17:00:11.333545
Epoch: [14][75/1625]	Per Sample Total Time 0.00541	Per Sample Data Time 0.00158	Per Sample DNN Time 0.00383	Train Loss 7.3607	
   >> MPG: 0.043, MPC: 2.501, MPMHB: 2.511
Epoch: [14][175/1625]	Per Sample Total Time 0.00510	Per Sample Data Time 0.00130	Per Sample DNN Time 0.00379	Train Loss 7.3296	
   >> MPG: 0.041, MPC: 2.656, MPMHB: 2.440
Epoch: [14][275/1625]	Per Sample Total Time 0.00489	Per Sample Data Time 0.00112	Per Sample DNN Time 0.00377	Train Loss 7.5479	
   >> MPG: 0.043, MPC: 2.671, MPMHB: 2.502
Epoch: [14][375/1625]	Per Sample Total Time 0.00474	Per Sample Data Time 0.00099	Per Sample DNN Time 0.00376	Train Loss 7.4430	
   >> MPG: 0.043, MPC: 2.513, MPMHB: 2.554
---------------- step 21600 evaluation ----------------
masked acc train: 0.403203
nce loss train: 7.221828
masked acc eval: 0.417561
nce loss eval: 0.043612
# 28, step 20800-21600, lr: 5.000000e-04
# 28, step 20800-21600, training time: 152.587
---------------- evaluation finished ----------------
Epoch: [14][475/1625]	Per Sample Total Time 0.49349	Per Sample Data Time 0.48983	Per Sample DNN Time 0.00365	Train Loss 7.3005	
   >> MPG: 0.041, MPC: 2.617, MPMHB: 2.447
Epoch: [14][575/1625]	Per Sample Total Time 0.00893	Per Sample Data Time 0.00506	Per Sample DNN Time 0.00387	Train Loss 7.2828	
   >> MPG: 0.041, MPC: 2.565, MPMHB: 2.444
Epoch: [14][675/1625]	Per Sample Total Time 0.00650	Per Sample Data Time 0.00264	Per Sample DNN Time 0.00385	Train Loss 7.3095	
   >> MPG: 0.042, MPC: 2.568, MPMHB: 2.425
Epoch: [14][775/1625]	Per Sample Total Time 0.00585	Per Sample Data Time 0.00184	Per Sample DNN Time 0.00402	Train Loss 7.1973	
   >> MPG: 0.041, MPC: 2.564, MPMHB: 2.404
Epoch: [14][875/1625]	Per Sample Total Time 0.00548	Per Sample Data Time 0.00143	Per Sample DNN Time 0.00405	Train Loss 7.2949	
   >> MPG: 0.040, MPC: 2.694, MPMHB: 2.377
Epoch: [14][975/1625]	Per Sample Total Time 0.00525	Per Sample Data Time 0.00119	Per Sample DNN Time 0.00406	Train Loss 7.3560	
   >> MPG: 0.042, MPC: 2.537, MPMHB: 2.497
Epoch: [14][1075/1625]	Per Sample Total Time 0.00511	Per Sample Data Time 0.00103	Per Sample DNN Time 0.00408	Train Loss 6.9870	
   >> MPG: 0.037, MPC: 2.736, MPMHB: 2.203
Epoch: [14][1175/1625]	Per Sample Total Time 0.00500	Per Sample Data Time 0.00092	Per Sample DNN Time 0.00408	Train Loss 7.5347	
   >> MPG: 0.045, MPC: 2.507, MPMHB: 2.568
---------------- step 22400 evaluation ----------------
masked acc train: 0.414414
nce loss train: 7.461824
masked acc eval: 0.420009
nce loss eval: 0.043361
# 29, step 21600-22400, lr: 5.000000e-04
# 29, step 21600-22400, training time: 256.122
---------------- evaluation finished ----------------
Epoch: [14][1275/1625]	Per Sample Total Time 0.56154	Per Sample Data Time 0.55801	Per Sample DNN Time 0.00353	Train Loss 7.2009	
   >> MPG: 0.041, MPC: 2.643, MPMHB: 2.314
Epoch: [14][1375/1625]	Per Sample Total Time 0.00958	Per Sample Data Time 0.00572	Per Sample DNN Time 0.00385	Train Loss 7.2462	
   >> MPG: 0.042, MPC: 2.501, MPMHB: 2.436
Epoch: [14][1475/1625]	Per Sample Total Time 0.00685	Per Sample Data Time 0.00297	Per Sample DNN Time 0.00388	Train Loss 7.2914	
   >> MPG: 0.042, MPC: 2.618, MPMHB: 2.381
Epoch: [14][1575/1625]	Per Sample Total Time 0.00593	Per Sample Data Time 0.00205	Per Sample DNN Time 0.00387	Train Loss 7.4034	
   >> MPG: 0.043, MPC: 2.524, MPMHB: 2.491
2026-01-28 17:08:31.140265
Epoch: [15][50/1625]	Per Sample Total Time 0.00563	Per Sample Data Time 0.00177	Per Sample DNN Time 0.00386	Train Loss 7.3576	
   >> MPG: 0.043, MPC: 2.439, MPMHB: 2.545
Epoch: [15][150/1625]	Per Sample Total Time 0.00530	Per Sample Data Time 0.00146	Per Sample DNN Time 0.00385	Train Loss 7.4597	
   >> MPG: 0.043, MPC: 2.567, MPMHB: 2.535
Epoch: [15][250/1625]	Per Sample Total Time 0.00508	Per Sample Data Time 0.00125	Per Sample DNN Time 0.00383	Train Loss 7.2808	
   >> MPG: 0.041, MPC: 2.637, MPMHB: 2.394
Epoch: [15][350/1625]	Per Sample Total Time 0.00492	Per Sample Data Time 0.00110	Per Sample DNN Time 0.00382	Train Loss 7.2054	
   >> MPG: 0.040, MPC: 2.615, MPMHB: 2.374
---------------- step 23200 evaluation ----------------
masked acc train: 0.432383
nce loss train: 7.164881
masked acc eval: 0.422437
nce loss eval: 0.043307
# 30, step 22400-23200, lr: 5.000000e-04
# 30, step 22400-23200, training time: 149.005
---------------- evaluation finished ----------------
Epoch: [15][450/1625]	Per Sample Total Time 0.48642	Per Sample Data Time 0.48277	Per Sample DNN Time 0.00365	Train Loss 7.2520	
   >> MPG: 0.040, MPC: 2.618, MPMHB: 2.437
Epoch: [15][550/1625]	Per Sample Total Time 0.00864	Per Sample Data Time 0.00496	Per Sample DNN Time 0.00368	Train Loss 7.2878	
   >> MPG: 0.042, MPC: 2.493, MPMHB: 2.464
Epoch: [15][650/1625]	Per Sample Total Time 0.00625	Per Sample Data Time 0.00259	Per Sample DNN Time 0.00366	Train Loss 7.4390	
   >> MPG: 0.042, MPC: 2.656, MPMHB: 2.481
Epoch: [15][750/1625]	Per Sample Total Time 0.00546	Per Sample Data Time 0.00179	Per Sample DNN Time 0.00367	Train Loss 7.3891	
   >> MPG: 0.042, MPC: 2.638, MPMHB: 2.421
Epoch: [15][850/1625]	Per Sample Total Time 0.00507	Per Sample Data Time 0.00139	Per Sample DNN Time 0.00368	Train Loss 7.2005	
   >> MPG: 0.041, MPC: 2.501, MPMHB: 2.428
Epoch: [15][950/1625]	Per Sample Total Time 0.00484	Per Sample Data Time 0.00115	Per Sample DNN Time 0.00368	Train Loss 7.2512	
   >> MPG: 0.042, MPC: 2.471, MPMHB: 2.467
Epoch: [15][1050/1625]	Per Sample Total Time 0.00469	Per Sample Data Time 0.00099	Per Sample DNN Time 0.00369	Train Loss 7.3461	
   >> MPG: 0.042, MPC: 2.562, MPMHB: 2.457
Epoch: [15][1150/1625]	Per Sample Total Time 0.00459	Per Sample Data Time 0.00088	Per Sample DNN Time 0.00371	Train Loss 7.2510	
   >> MPG: 0.042, MPC: 2.595, MPMHB: 2.371
---------------- step 24000 evaluation ----------------
masked acc train: 0.404453
nce loss train: 7.295474
masked acc eval: 0.425742
nce loss eval: 0.043133
# 31, step 23200-24000, lr: 5.000000e-04
# 31, step 23200-24000, training time: 230.894
---------------- evaluation finished ----------------
Epoch: [15][1250/1625]	Per Sample Total Time 0.48501	Per Sample Data Time 0.48141	Per Sample DNN Time 0.00361	Train Loss 7.1840	
   >> MPG: 0.040, MPC: 2.517, MPMHB: 2.455
Epoch: [15][1350/1625]	Per Sample Total Time 0.00867	Per Sample Data Time 0.00496	Per Sample DNN Time 0.00371	Train Loss 7.2437	
   >> MPG: 0.041, MPC: 2.646, MPMHB: 2.370
Epoch: [15][1450/1625]	Per Sample Total Time 0.00631	Per Sample Data Time 0.00259	Per Sample DNN Time 0.00372	Train Loss 7.1815	
   >> MPG: 0.041, MPC: 2.463, MPMHB: 2.463
Epoch: [15][1550/1625]	Per Sample Total Time 0.00552	Per Sample Data Time 0.00179	Per Sample DNN Time 0.00372	Train Loss 7.0960	
   >> MPG: 0.039, MPC: 2.628, MPMHB: 2.340
2026-01-28 17:16:24.829983
Epoch: [16][25/1625]	Per Sample Total Time 0.00545	Per Sample Data Time 0.00169	Per Sample DNN Time 0.00376	Train Loss 7.3180	
   >> MPG: 0.042, MPC: 2.650, MPMHB: 2.380
Epoch: [16][125/1625]	Per Sample Total Time 0.00523	Per Sample Data Time 0.00140	Per Sample DNN Time 0.00384	Train Loss 7.3494	
   >> MPG: 0.042, MPC: 2.610, MPMHB: 2.441
Epoch: [16][225/1625]	Per Sample Total Time 0.00509	Per Sample Data Time 0.00120	Per Sample DNN Time 0.00389	Train Loss 7.3212	
   >> MPG: 0.042, MPC: 2.588, MPMHB: 2.422
Epoch: [16][325/1625]	Per Sample Total Time 0.00498	Per Sample Data Time 0.00106	Per Sample DNN Time 0.00392	Train Loss 7.2667	
   >> MPG: 0.041, MPC: 2.549, MPMHB: 2.468
---------------- step 24800 evaluation ----------------
masked acc train: 0.432070
nce loss train: 7.118443
masked acc eval: 0.425299
nce loss eval: 0.043009
# 32, step 24000-24800, lr: 5.000000e-04
# 32, step 24000-24800, training time: 157.291
---------------- evaluation finished ----------------
Epoch: [16][425/1625]	Per Sample Total Time 0.48471	Per Sample Data Time 0.48107	Per Sample DNN Time 0.00364	Train Loss 7.0520	
   >> MPG: 0.038, MPC: 2.706, MPMHB: 2.249
Epoch: [16][525/1625]	Per Sample Total Time 0.00870	Per Sample Data Time 0.00496	Per Sample DNN Time 0.00374	Train Loss 7.1773	
   >> MPG: 0.041, MPC: 2.574, MPMHB: 2.368
Epoch: [16][625/1625]	Per Sample Total Time 0.00630	Per Sample Data Time 0.00259	Per Sample DNN Time 0.00372	Train Loss 7.1242	
   >> MPG: 0.039, MPC: 2.546, MPMHB: 2.412
Epoch: [16][725/1625]	Per Sample Total Time 0.00551	Per Sample Data Time 0.00179	Per Sample DNN Time 0.00372	Train Loss 7.0552	
   >> MPG: 0.039, MPC: 2.532, MPMHB: 2.355
Epoch: [16][825/1625]	Per Sample Total Time 0.00514	Per Sample Data Time 0.00139	Per Sample DNN Time 0.00374	Train Loss 7.1434	
   >> MPG: 0.041, MPC: 2.526, MPMHB: 2.384
Epoch: [16][925/1625]	Per Sample Total Time 0.00489	Per Sample Data Time 0.00115	Per Sample DNN Time 0.00374	Train Loss 7.0941	
   >> MPG: 0.039, MPC: 2.546, MPMHB: 2.408
Epoch: [16][1025/1625]	Per Sample Total Time 0.00473	Per Sample Data Time 0.00099	Per Sample DNN Time 0.00374	Train Loss 7.0056	
   >> MPG: 0.039, MPC: 2.461, MPMHB: 2.375
Epoch: [16][1125/1625]	Per Sample Total Time 0.00461	Per Sample Data Time 0.00088	Per Sample DNN Time 0.00373	Train Loss 7.1769	
   >> MPG: 0.041, MPC: 2.414, MPMHB: 2.497
---------------- step 25600 evaluation ----------------
masked acc train: 0.420625
nce loss train: 7.088570
masked acc eval: 0.427991
nce loss eval: 0.042768
# 33, step 24800-25600, lr: 5.000000e-04
# 33, step 24800-25600, training time: 233.611
---------------- evaluation finished ----------------
Epoch: [16][1225/1625]	Per Sample Total Time 0.51201	Per Sample Data Time 0.50836	Per Sample DNN Time 0.00365	Train Loss 7.3147	
   >> MPG: 0.042, MPC: 2.548, MPMHB: 2.475
Epoch: [16][1325/1625]	Per Sample Total Time 0.00897	Per Sample Data Time 0.00522	Per Sample DNN Time 0.00374	Train Loss 7.1374	
   >> MPG: 0.040, MPC: 2.490, MPMHB: 2.428
Epoch: [16][1425/1625]	Per Sample Total Time 0.00649	Per Sample Data Time 0.00272	Per Sample DNN Time 0.00376	Train Loss 7.0976	
   >> MPG: 0.039, MPC: 2.644, MPMHB: 2.301
Epoch: [16][1525/1625]	Per Sample Total Time 0.00564	Per Sample Data Time 0.00188	Per Sample DNN Time 0.00376	Train Loss 7.2449	
   >> MPG: 0.041, MPC: 2.579, MPMHB: 2.395
2026-01-28 17:24:36.873985
Epoch: [17][0/1625]	Per Sample Total Time 0.00530	Per Sample Data Time 0.00155	Per Sample DNN Time 0.00375	Train Loss 7.1499	
   >> MPG: 0.040, MPC: 2.665, MPMHB: 2.295
Epoch: [17][100/1625]	Per Sample Total Time 0.00504	Per Sample Data Time 0.00128	Per Sample DNN Time 0.00376	Train Loss 7.3620	
   >> MPG: 0.042, MPC: 2.536, MPMHB: 2.508
Epoch: [17][200/1625]	Per Sample Total Time 0.00485	Per Sample Data Time 0.00110	Per Sample DNN Time 0.00375	Train Loss 7.0867	
   >> MPG: 0.040, MPC: 2.463, MPMHB: 2.421
Epoch: [17][300/1625]	Per Sample Total Time 0.00471	Per Sample Data Time 0.00097	Per Sample DNN Time 0.00375	Train Loss 7.0853	
   >> MPG: 0.040, MPC: 2.551, MPMHB: 2.362
---------------- step 26400 evaluation ----------------
masked acc train: 0.400391
nce loss train: 7.089777
masked acc eval: 0.430979
nce loss eval: 0.042624
# 34, step 25600-26400, lr: 5.000000e-04
# 34, step 25600-26400, training time: 133.830
---------------- evaluation finished ----------------
Epoch: [17][400/1625]	Per Sample Total Time 0.48869	Per Sample Data Time 0.48489	Per Sample DNN Time 0.00381	Train Loss 7.0752	
   >> MPG: 0.040, MPC: 2.502, MPMHB: 2.358
Epoch: [17][500/1625]	Per Sample Total Time 0.00872	Per Sample Data Time 0.00499	Per Sample DNN Time 0.00373	Train Loss 7.2310	
   >> MPG: 0.040, MPC: 2.635, MPMHB: 2.410
Epoch: [17][600/1625]	Per Sample Total Time 0.00634	Per Sample Data Time 0.00261	Per Sample DNN Time 0.00373	Train Loss 7.1341	
